Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0402_1005Metric",0.250000,-34.500000,90.000000,bottom
"C5","100nF","C_0402_1005Metric",0.370000,-31.085000,-90.000000,bottom
"C7","1uF","C_0402_1005Metric",0.350000,-29.140000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",-7.740000,-28.350000,180.000000,bottom
"C10","22uF","C_0603_1608Metric",-5.140000,-28.140000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",-7.785000,-26.550000,180.000000,bottom
"C16","100nF","C_0402_1005Metric",-9.500000,-31.910000,90.000000,bottom
"C18","100nF","C_0402_1005Metric",-8.480000,-35.090000,-90.000000,bottom
"C19","100nF","C_0402_1005Metric",-8.480000,-32.660000,90.000000,bottom
"C20","22uF","C_0603_1608Metric",-9.000000,-24.150000,180.000000,bottom
"C21","15pF","C_0402_1005Metric",-0.210000,-37.790000,0.000000,bottom
"C22","15pF","C_0402_1005Metric",-0.210000,-36.390000,0.000000,bottom
"C28","7.5pF","C_0402_1005Metric",-10.910000,-34.005000,-90.000000,bottom
"C31","7.5pF","C_0402_1005Metric",-12.210000,-33.990000,90.000000,bottom
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",-16.750000,1.750000,90.000000,bottom
"FID4","Fiducial","Fiducial_0.5mm_Mask1mm",-12.200000,-55.900000,180.000000,bottom
"FID6","Fiducial","Fiducial_0.5mm_Mask1mm",13.010000,-57.090000,180.000000,bottom
"FID7","Fiducial","Fiducial_0.5mm_Mask1mm",15.550000,1.770000,180.000000,bottom
"J3","Host","PinSocket_2x08_P2.54mm_Vertical_padded",-11.404600,-1.295400,-90.000000,bottom
"L2","6.8uH","L_0805_2012Metric",-7.220000,-22.320000,180.000000,bottom
"R4","100R","R_0402_1005Metric",-1.500000,-13.915000,-90.000000,bottom
"R5","100R","R_0402_1005Metric",-0.430000,-13.900000,-90.000000,bottom
"R8","100K","R_0402_1005Metric",-9.730000,-26.560000,180.000000,bottom
"R14","14K","R_0603_1608Metric",-10.624988,-4.460000,180.000000,bottom
"R18","150K","R_0603_1608Metric",-10.645000,-6.070000,180.000000,bottom
"Y1","32k","Crystal_SMD_2012-2Pin_2.0x1.2mm",-2.200000,-37.120000,-90.000000,bottom
