Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1000uF 10v","CP_Radial_D8.0mm_P3.50mm",16.202540,-25.318720,180.000000,top
"C3","1000uF 10v","CP_Radial_D8.0mm_P3.50mm",16.222860,-33.962340,180.000000,top
"C4","100nF","C_0603_1608Metric",17.820640,-41.838880,-90.000000,top
"C6","10uF","C_0402_1005Metric",15.890000,-42.270000,-90.000000,top
"C8","100pF","C_0603_1608Metric",9.000000,-45.800000,0.000000,top
"C11","100nF","C_0402_1005Metric",12.130000,-50.810000,90.000000,top
"C12","10uF","C_0402_1005Metric",13.190000,-50.807500,90.000000,top
"C14","1000uF 10v","CP_Radial_D8.0mm_P3.50mm",4.815840,-39.116000,0.000000,top
"C15","1000uF 10v","CP_Radial_D8.0mm_P3.50mm",4.780400,-30.457140,0.000000,top
"C17","1000uF 10v","CP_Radial_D8.0mm_P3.50mm",4.739760,-21.798280,0.000000,top
"C23","2.4pF","C_0402_1005Metric",-1.450000,-40.185000,-90.000000,top
"C24","100pF","C_0402_1005Metric",-4.530000,-41.740000,-90.000000,top
"C25","2.4pF","C_0402_1005Metric",-3.510000,-41.170000,90.000000,top
"C26","10nF","C_0402_1005Metric",-5.530000,-41.760000,-90.000000,top
"C27","3.9pF","C_0402_1005Metric",-1.020000,-42.130000,0.000000,top
"C29","0.7pF","C_0402_1005Metric",-3.500000,-43.100000,90.000000,top
"C30","3pF","C_0402_1005Metric",-4.480000,-44.590000,180.000000,top
"C32","100pF","C_0402_1005Metric",-4.790000,-38.220000,-90.000000,top
"C33","100pF","C_0402_1005Metric",-6.640000,-41.140000,-90.000000,top
"C34","4.7pF","C_0402_1005Metric",-1.525000,-46.010000,0.000000,top
"C35","DNP","C_0402_1005Metric",-7.910000,-40.980000,-90.000000,top
"C36","100pF","C_0402_1005Metric",-3.000000,-46.990000,90.000000,top
"C37","0R","C_0402_1005Metric",-8.415000,-39.370000,0.000000,top
"C38","100nF","C_0402_1005Metric",-4.430000,-19.830000,-90.000000,top
"C39","47pF","C_0402_1005Metric",-3.020000,-50.650000,-90.000000,top
"C40","DNP","C_0402_1005Metric",-10.910000,-38.745000,90.000000,top
"C41","2pF","C_0402_1005Metric",-12.380000,-39.220000,180.000000,top
"C42","0.5pF","C_0402_1005Metric",-13.860000,-39.680000,-90.000000,top
"C43","DNP","C_0402_1005Metric",-4.485000,-52.070000,180.000000,top
"C44","DNP","C_0402_1005Metric",-1.510000,-53.050000,0.000000,top
"C45","1nF","C_0402_1005Metric",-18.210000,-32.895000,90.000000,top
"C46","DNP","C_0402_1005Metric",-11.700000,-43.445000,90.000000,top
"C47","DNP","C_0402_1005Metric",-13.670000,-45.400000,-90.000000,top
"D1","Red","LED_0402_1005Metric",1.170000,-37.805000,90.000000,top
"D2","Green","LED_0402_1005Metric",1.410000,-34.740000,-90.000000,top
"D3","TVS","X1SON",-4.300000,-50.900000,180.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",-16.750000,1.750000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",-12.200000,-55.900000,0.000000,top
"FID5","Fiducial","Fiducial_0.5mm_Mask1mm",13.010000,-57.090000,0.000000,top
"FID8","Fiducial","Fiducial_0.5mm_Mask1mm",12.640000,-5.300000,0.000000,top
"J1","Conn_Coaxial","U.FL_Molex_MCRF_73412-0110_Vertical",-2.990000,-57.340000,180.000000,top
"J2","Conn_Coaxial","U.FL_Molex_MCRF_73412-0110_Vertical",-17.170000,-44.930000,90.000000,top
"J4","Conn_02x07_Odd_Even","Pin_Header_2x07_P1.27mm_Vertical_SMT",-15.449500,-16.590000,0.000000,top
"L1","3.3uH 2A","L_4030_Handsoldering",16.940000,-48.450000,-90.000000,top
"L3","1nH","L_0402_1005Metric",-3.600000,-38.135000,-90.000000,top
"L4","1nH","L_0402_1005Metric",-2.480000,-38.135000,-90.000000,top
"L5","18nH","L_0402_1005Metric",-3.005000,-39.700000,180.000000,top
"L6","12nH","L_0402_1005Metric",-4.930000,-39.700000,180.000000,top
"L7","12nH","L_0402_1005Metric",-2.510000,-41.170000,-90.000000,top
"L8","3.9nH","L_0402_1005Metric",-2.500000,-43.100000,-90.000000,top
"L9","2.5nH","L_0402_1005Metric",-4.950000,-46.080000,90.000000,top
